model,R2,RMSE,MAE,MAPE,Accuracy
XGBoost,0.8986379176563123,106260.89370297603,64132.91141723963,11.809974186484999,88.190025813515
Random Forest,0.8560599303797876,126627.0695640862,73603.68270610465,13.039993000995759,86.96000699900424
Decision Tree,0.7846023182626295,154901.71091258674,92727.1297400092,16.722017470282772,83.27798252971724
Linear Regression (Ridge),0.714844282257407,178228.33268640604,113031.55583022638,20.806920836268148,79.19307916373185
